From,To,Node,Site ID,Site Name,Description,Av Speed,85th %ile,24 Hour,Total
,,,,,,(km/h),(km/h),,
2023-03-01,2023-03-31,SAUDI,60200651.0,60200651.0,Hail to Qassim Road,115.6,138,5185,141160
2023-03-01,2023-03-31,SAUDI,60204000.0,60204000.0,Al Adwa to Hail Road,104.1,122,3220,99814
2023-03-01,2023-03-31,SAUDI,60204001.0,60204001.0,Hail to Buraida Road,101,129,1568,48607
2023-03-01,2023-03-31,SAUDI,60300700.0,60300700.0,Tabouk to Hail Road,96.1,113,5226,162000
2023-03-01,2023-03-31,SAUDI,60300701.0,60300701.0,Hail To Tabuk Road,100.1,124,1818,56347
2023-03-01,2023-03-31,SAUDI,60403890.0,60403890.0,Hail to Madina Road,106.2,126,2200,68198
2023-03-01,2023-03-31,SAUDI,60500650.0,60500650.0,Hail to Al Jouf Road,93.4,125,1299,40266
2023-03-01,2023-03-31,SAUDI,60500651.0,60500651.0,Al Jouf to Hail Roa - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,60586200.0,60586200.0,Jubbah toHail Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,60586201.0,60586201.0,Hail to Jubbah Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,60687000.0,60687000.0,Bagaa to Turba Road,100.6,134,3638,19560
2023-03-01,2023-03-31,SAUDI,60700660.0,60700660.0,Hail to Madina,114.2,138,1947,58957
2023-03-01,2023-03-31,SAUDI,60700661.0,60700661.0,Madina to Hail,111.9,134,1792,50856
2023-03-01,2023-03-31,SAUDI,60703890.0,60703890.0,Madina to Hail Road,101.8,127,1820,56411
2023-03-01,2023-03-31,SAUDI,80100050.0,80100050.0,Qunfoza to Al Bark Road (Stopped), -, -, -, -
2023-03-01,2023-03-31,SAUDI,80100051.0,80100051.0,Al Brk to Qunfozah Road,96.7,118,5223,161872
2023-03-01,2023-03-31,SAUDI,80120670.0,80120670.0,Al majordah - Al Qouz,78.9,98,840,7
2023-03-01,2023-03-31,SAUDI,80200100.0,80200100.0,Abha to Darb Road,68,79,13254,410882
2023-03-01,2023-03-31,SAUDI,80200150.0,80200150.0,Taif to Abha Road,81.8,95,10126,313896
2023-03-01,2023-03-31,SAUDI,80200151.0,80200151.0,Abha to Taif Road,94.6,106,11063,342958
2023-03-01,2023-03-31,SAUDI,80202140.0,80202140.0,Al Soudha to Abha Road - to be removed,70.3,82,6748,209196
2023-03-01,2023-03-31,SAUDI,80202141.0,80202141.0,Abha to Al Soudha - to be removed,68.1,80,6868,212922
2023-03-01,2023-03-31,SAUDI,80500300.0,80500300.0,Riyadh to Bisha Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,80600100.0,80600100.0,Riyadh to Khamis Musiet Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,80700150.0,80700150.0,Khamis Mushyit to Najran Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,80700151.0,80700151.0,Najran to Khamis Mushyit Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,80802090.0,80802090.0,Sheaar to Amohaiyl Road,86.6,108,5408,167651
2023-03-01,2023-03-31,SAUDI,80902500.0,80902500.0,Bisha to Al Alaia Road,93.9,111,1893,58670
2023-03-01,2023-03-31,SAUDI,90316910.0,90316910.0,Kodmi to Harud Road,84.5,103,2717,84217
2023-03-01,2023-03-31,SAUDI,90415700.0,90415700.0,Abu Arish to Ahad Al Masarihan,93.1,110,16681,517038
